timestamp,east,north,up
2024-11-06T01:05:22.552135,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:22.614495,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:24.961215,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.025829,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.103095,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.170248,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.239684,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.302347,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.385209,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.450389,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.528288,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.583386,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.665618,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.752026,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.833962,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.925764,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:25.991143,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:26.056469,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:26.130044,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:26.208174,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:27.751835,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:27.821918,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:27.923255,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:27.990705,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.052914,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.116411,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.215585,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.282767,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.364270,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.423079,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.523518,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.591753,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.677365,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.758096,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.822634,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:28.934181,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.001913,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.093391,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.167763,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.261171,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.316062,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.395348,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.451221,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.539477,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.586979,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.640534,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.695444,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.750742,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.825754,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.877569,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:29.940957,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.004716,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.053823,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.100495,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.161703,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.258168,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.326293,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:30.398981,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:31.699933,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:31.760891,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:31.854496,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:31.925606,3.5015048030433387,-3.481061789570626,-4.8713674621547804
2024-11-06T01:05:31.993869,3.5015048030433387,-3.481061789570626,-4.8713674621547804
